TAZ,gqpop2010,military_jobs,ag,cstr,fire,govt,hh1,hh2,hh3,hh4,hh5,hotel,hr,hu,indus,pop,rc,retail,service,tcu,totalemp,totalhh
223,19,0,3,40,152,484,90,67,35,24,26,29,24,271,15,602,44,50,2208,20,3001,242
234,0,0,9,18,109,611,0,0,0,0,0,0,0,0,46,0,0,75,556,389,1813,0
237,0,0,9,38,215,1428,0,0,0,0,0,0,0,0,32,0,0,57,870,65,2714,0
247,0,0,0,20,0,31,22,6,2,2,2,0,0,42,0,59,0,0,232,0,283,34
248,7,0,0,17,0,12,347,267,80,49,36,0,0,824,2,1544,0,0,36,3,70,779
270,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0
271,0,0,0,25,27,104,224,120,69,57,43,0,0,579,14,1142,0,146,418,10,744,513
272,21,0,0,22,10,36,232,228,120,97,113,0,0,869,4,2134,0,80,115,3,270,790
273,2,0,0,24,3,22,306,324,139,98,87,0,0,1084,5,2329,0,2,68,0,124,954
274,0,0,0,17,10,17,359,249,96,62,41,0,0,956,6,1629,0,0,168,3,221,807
275,0,0,0,15,30,10,620,519,155,119,82,0,0,1711,2,3070,0,1,77,1,136,1495
276,0,0,0,45,5,77,650,475,179,113,79,0,0,1720,5,3034,0,7,201,3,343,1496
277,0,0,0,17,5,0,453,303,126,95,71,0,0,1260,4,2231,0,2,120,0,148,1048
278,0,0,0,19,25,0,612,467,195,136,98,0,0,1809,4,3264,0,34,105,3,190,1508
279,80,0,0,22,6,21,340,221,76,46,27,0,0,791,0,1437,0,6,382,3,440,710
280,0,0,0,34,6,0,797,514,202,100,63,0,0,1996,2,3189,0,11,72,2,127,1676
281,285,0,0,31,17,31,922,702,223,145,103,0,0,2501,11,4448,0,0,805,0,895,2095
282,5,0,0,35,28,0,52,134,89,81,67,0,0,438,2,1293,0,0,88,4,157,423
283,9,0,0,13,8,23,63,113,55,51,48,0,0,347,8,1024,0,21,110,1,184,330
284,0,0,0,12,2,0,44,80,61,52,143,0,0,394,3,1537,0,0,21,13,51,380
