TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD
73,1081,36,0,0,412,103,117,70,49,53,0,16,0,0,1,10,19,196,0,18,260,392,3,0.5,2.679537,1.12,100,0,0,0,0,0,25,0,0.52,0.34,0,1,24
74,1090,157,47,1,390,110,118,70,46,31,0,7,20,0,8,13,6,121,37,21,233,375,3,0.5,8,1.369344,100,0,0,0,0,0,108,37,0.52,0.34,0,1,24
75,611,22,0,0,243,60,82,31,35,23,0,23,0,0,9,0,4,1656,29,30,1751,231,3,0.5,4.769919,1.691505,100,0,0,4342,0,1,15,29,0.52,0.34,0,1,24
76,2688,0,0,0,1317,467,428,181,104,69,0,7,0,0,1,8,9,298,1,24,348,1249,3,0.5,4.429998,1.66722,100,0,0,884,0,1,0,1,0.52,0.34,0,0,24
77,233,0,0,0,86,20,21,16,11,14,0,0,0,0,1,0,0,14,0,8,23,82,3,0.5,5.631464,1.433016,100,0,0,0,0,0,0,0,0.52,0.34,0,0,3
78,306,0,0,0,110,27,24,14,23,16,0,12,0,0,48,0,1,6,1,26,94,104,3,0.5,5.817235,1.323243,100,0,0,0,430,0,0,1,0.52,0.34,0,0,25
79,129,11,0,0,46,11,13,5,4,9,0,7,0,0,1,0,5,66,17,21,117,42,3,0.5,4.257465,1.190001,100,0,0,420,0,2,8,17,0.52,0.34,0,1,25
80,947,7,0,0,346,74,102,66,47,46,0,0,0,0,0,3,22,208,19,15,267,335,3,0.5,7.785802,1.049639,100,0,0,0,0,0,5,19,0,0,0,3,5
81,801,5,0,0,274,56,81,51,37,43,0,0,0,0,1,7,0,38,0,11,57,268,3,0.5,4.425717,1.087165,100,0,0,0,0,0,3,0,0,0,0,3,5
82,610,8,0,0,211,53,57,30,30,37,0,0,0,0,0,4,1,34,0,12,51,207,3,0.5,3,1.069786,100,0,0,0,0,0,6,0,0,0,0,3,5
83,1359,3,0,0,513,97,168,96,65,59,0,0,0,0,9,69,56,131,116,17,398,485,3,0.5,11.25,1,100,0,0,0,0,0,2,116,0,0,0,1,5
84,2168,0,0,0,811,201,212,157,97,115,0,0,0,0,8,11,15,208,31,16,289,782,3,0.5,0,0.5,100,0,0,0,0,0,0,31,0,0,0,3,5
85,494,0,0,0,186,41,48,39,23,26,0,0,0,0,1,3,3,7,0,8,22,177,3,0.5,0,0.5,100,0,0,0,0,0,0,0,0,0,0,0,5
86,1203,0,0,0,421,78,122,86,66,62,0,0,0,0,3,6,7,108,0,17,141,414,3,0.5,3,1.083828,100,0,0,0,368,1,0,0,0,0,0,0,5
87,418,0,0,0,143,22,40,32,22,21,0,0,0,0,0,2,3,2,0,9,16,137,3,0.5,0,1.237688,100,0,0,0,0,0,0,0,0,0,0,0,5
88,435,0,0,0,166,33,55,31,26,17,0,37,0,0,0,8,1,24,4,20,94,162,3,0.5,0,1.689482,100,0,0,0,0,0,0,4,0,0,0,0,5
89,468,174,0,0,104,20,38,13,13,16,0,478,0,0,0,0,16,148,22,26,690,100,3,0.5,0,1.877634,100,0,0,0,0,0,120,22,0,0,0,4,5
90,1190,0,0,0,449,96,140,74,57,61,0,48,0,0,0,3,20,115,0,18,204,428,3,0.5,0,1.134669,100,0,0,0,0,0,0,0,0,0,0,0,5
91,160,0,0,0,61,20,15,9,9,8,0,74,0,0,0,0,15,13,0,18,120,61,3,0.5,0,0.947292,100,0,0,0,0,0,0,0,0,0,0,0,5
92,437,0,0,0,153,27,49,22,26,22,0,0,0,0,2,2,3,73,0,8,88,146,3,0.5,0,0.912111,100,0,0,0,392,0,0,0,0,0,0,0,5
93,949,0,0,0,343,69,102,68,40,51,0,12,0,0,0,14,10,26,0,13,75,330,3,0.5,0,1.354383,100,0,0,0,530,0,0,0,0,0,0,0,5
94,721,0,0,0,269,38,87,53,38,33,0,46,0,0,2,1,10,57,0,25,141,249,3,0.5,0,0,100,0,0,0,892,2,0,0,0,0,0,0,5
95,1636,47,0,0,559,96,152,112,88,83,0,10,0,1,1,5,8,39,1,14,79,531,3,0.5,0,1.539275,100,0,0,0,0,1,32,1,0,0,0,3,5
96,609,0,0,0,231,56,67,36,32,31,0,24,0,2,0,10,23,43,40,20,162,222,3,0.5,0,0,100,0,0,0,0,1,0,40,0,0,0,0,5
97,213,0,0,0,124,40,27,13,14,4,0,0,0,2,52,13,491,1143,976,14,2691,98,3,0.5,0,0,100,0,0,0,0,0,0,976,0,0,0,0,5
98,347,0,0,0,125,12,53,19,22,15,0,0,0,0,1,2,2,18,0,8,31,121,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5
99,638,15,0,0,245,39,77,33,37,32,0,0,0,1,1,7,7,138,5,18,177,218,3,0.5,0,0,100,0,0,0,442,1,10,5,0,0,0,3,5
100,972,0,0,0,396,54,113,75,70,34,0,0,0,0,11,1,27,43,0,11,93,346,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5
101,909,0,0,0,381,48,113,67,50,40,0,0,0,0,7,7,37,64,5,20,140,318,3,0.5,0,0,100,0,0,0,0,0,0,5,0,0,0,0,5
102,1226,0,0,0,562,104,191,77,65,47,0,526,0,0,5,3,78,488,19,31,1150,484,3,0.5,0,0,100,0,0,67,0,3,0,19,0.52,0.34,0,0,5
103,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,1,0,0,17,28,165,0,3,0.5,0,1.993389,100,0,8534,0,0,0,0,17,0.52,0.34,0,0,5
104,0,0,0,0,1,0,0,0,0,0,761,48,0,0,0,0,19,1,1,212,1042,0,3,0.5,0,1.5,100,0,0,0,0,0,0,1,0.52,0.34,1,0,5
105,970,0,43,71,923,260,232,42,19,8,0,135,48,0,1,3,38,194,2,23,444,561,3,0.5,0,0,100,0,0,0,0,0,0,0,0.86,0.21,0,0,4
106,54,54,101,23,1,0,0,0,0,0,0,26,52,4,4,0,16,281,89,14,486,0,3,0.5,0,1.201925,100,0,0,0,0,0,37,0,0.86,0.21,0,3,4
107,1398,65,0,0,767,290,285,68,35,23,0,85,0,4,2,8,10,252,113,23,497,701,3,0.5,0,1,100,0,0,270,428,3,45,113,0.86,0.21,0,3,5
108,1774,8,0,0,618,116,178,118,90,94,0,0,0,0,14,4,24,67,41,16,166,596,3,0.5,0,0.5,100,0,0,0,0,0,6,41,0,0,0,3,5
109,2009,20,0,0,801,196,237,133,88,89,0,0,0,0,27,2,71,401,127,23,651,743,3,0.5,0,0.839267,100,0,0,14,69,2,14,127,0,0,0,3,5
110,15,0,0,0,8,2,5,1,0,0,0,21,0,1,0,0,0,71,11,16,120,8,3,0.5,0,1.190516,100,0,0,0,0,0,0,0,0,0,0,0,4
111,396,0,0,0,224,74,84,27,12,5,0,0,0,0,0,0,0,2,18,19,39,202,3,0.5,0,1.487982,100,0,0,0,388,1,0,0,0.61,0.35,0,0,4
112,510,0,764,85,335,97,121,27,7,11,0,0,354,0,1,0,1,195,0,0,551,263,3,0.5,0,1.679918,100,0,0,0,0,0,0,0,0.56,0.38,0,0,4
113,151,0,2174,169,155,81,20,7,1,1,0,7,975,0,1,0,0,1079,69,0,2131,110,2,3,2.875454,1.647247,100,0,0,0,0,0,0,0,0.44,0.42,0,0,4
114,1453,31,0,896,1024,410,289,74,28,18,0,21,373,0,4,14,64,437,1,5,919,819,3,0.5,2.5,1.739366,100,0,0,0,0,0,21,0,0.35,0.32,0,3,4
115,2407,0,620,17,1585,721,486,113,54,29,0,0,265,0,4,7,29,238,0,0,543,1403,2,3,3.034096,1.84656,100,0,0,0,0,0,0,0,0.62,0.24,0,0,4
