TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,HOTEL,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED,MILI,GOVT,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR
89,468,174,0,0,104,20,38,13,13,16,0,1099.8278382914782,100,3,0.5,0,1.877634,100,0,0,0,0,0,120,22,0,0,0,4,5,0.874251497,0,142.8092564233451,0,33.16001720366731,0,0,883.9019523100535,39.95661235441219,0
90,1190,0,0,0,449,96,140,74,57,61,0,344.1638596203509,428,3,0.5,0,1.134669,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,37.802450229708995,0,0,0,0,213.42686210564042,0,92.93454728500143
91,160,0,0,0,61,20,15,9,9,8,0,6.39305797670595,61,3,0.5,0,0.947292,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,0,0,0,0,0,0,6.39305797670595,0
92,437,0,0,0,153,27,49,22,26,22,0,33.93894420000319,146,3,0.5,0,0.912111,100,0,0,0,392,0,0,0,0,0,0,0,5,0.874251497,0,0,0,0,0,0,33.93894420000319,0,0
93,949,0,0,0,343,69,102,68,40,51,0,32.711391850752044,330,3,0.5,0,1.354383,100,0,0,0,530,0,0,0,0,0,0,0,5,0.874251497,0,0,0,0,0,0,32.711391850752044,0,0
94,721,0,0,0,269,38,87,53,38,33,0,371.8757443640146,249,3,0.5,0,0,100,0,0,0,892,2,0,0,0,0,0,0,5,0.874251497,0,42.00272247745444,0,0,0,0,307.49731896808936,22.375702918470825,0
95,1636,47,0,0,559,96,152,112,88,83,0,619.5666654402802,531,3,0.5,0,1.539275,100,0,0,0,0,1,32,1,0,0,0,3,5,0.874251497,0,33.60217798196355,0,0,83.70150728935016,76.00805577035658,407.7890772894382,18.465847109171758,0
96,609,0,0,0,231,56,67,36,32,31,0,636.1275111647494,222,3,0.5,0,0,100,0,0,0,0,1,0,40,0,0,0,0,5,0.874251497,0,0,0,0,11.42371910109521,50.672037180237716,390.4959970719113,183.53575781150516,0
97,213,0,0,0,124,40,27,13,14,4,0,2811.758501840248,98,3,0.5,0,0,100,0,0,0,0,0,0,976,0,0,0,0,5,0.874251497,0,0,0,0,45.036081081426204,337.8135812015847,1329.1813168925041,1099.7275226647325,0
98,347,0,0,0,125,12,53,19,22,15,0,121.90212805695758,121,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,0,0,27.63334766972276,34.875628037229234,0,59.393152350005586,0,0
99,638,15,0,0,245,39,77,33,37,32,0,716.2440215194996,218,3,0.5,0,0,100,0,0,0,442,1,10,5,0,0,0,3,5,0.874251497,0,16.801088990981775,0,0,0,67.56271624031696,599.0299887314407,32.850227556760146,0
100,972,0,0,0,396,54,113,75,70,34,0,222.52590433989263,346,3,0.5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0.874251497,0,0,0,27.63334766972276,11.42371910109521,0,163.90366971960066,0,19.565167849473987
101,909,0,0,0,381,48,113,67,50,40,0,343.11824734121126,318,3,0.5,0,0,100,0,0,0,0,0,0,5,0,0,0,0,5,0.874251497,0,0,0,0,34.271157303285634,59.117376710277334,215.49066959106884,0,34.239043736579475
102,1226,0,0,0,562,104,191,77,65,47,0,1564.7777667416917,484,3,0.5,0,0,100,0,0,67,0,3,0,19,0.52,0.34,0,0,5,0.874251497,85,327.62123532414466,0,44.21335627155641,76.72638168190431,152.01611154071315,822.489436788484,17.580909435941365,39.130335698947974
103,0,0,0,0,0,0,0,0,0,0,0,1222.6971526187647,0,3,0.5,0,1.993389,100,0,8534,0,0,0,0,17,0.52,0.34,0,0,5,0.874251497,0,12.600816743236331,0,38.68668673761186,0,0,1103.7015430709532,67.70810606696311,0
104,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.5,0,1.5,100,0,0,0,0,0,0,1,0.52,0.34,1,0,5,0.874251497,0,0,0,0,0,0,0,0,0
105,970,0,43,71,923,260,232,42,19,8,48,756.6439865217961,561,3,0.5,0,0,100,0,0,0,0,0,0,0,0.86,0.21,0,0,4,0.441860465,0,21.00136123872722,0,11.053339067889102,51.40673595492844,109.78941389051505,259.8031468108938,255.58998955884255,0
106,54,54,101,23,1,0,0,0,0,0,52,88.7600833660592,0,3,0.5,0,1.201925,100,0,0,0,0,0,37,0,0.86,0.21,0,3,4,0.441860465,0,0,0,0,0,0,0,36.76008336605921,0
