"TAZ","POP","GQ","HR","RC","HU","HH1","HH2","HH3","HH4","HH5","MILI","GOVT","HOTEL","AG","TCU","INDUS","FIRE","SERV","RETAIL","CSTR","TOTALEMP","TOTALHH","TERMTYPE","TERMTIME","WORK_DAILY","NONWRK_HRLY","PERCWLK","PRV_UNIV_ENROLL","PUB_UNIV_ENROLL","PRV_K12_ENROLL","PUB_K12_ENROLL","SCHOOLS","GQWRK","NONVISRET","VISPRCAUTO","VISPRCTOUR","MILI_BASE","GQTYPE","TD","SHRWRKPKGPROVIDED"
135,275,0,1041,179,638,91,44,15,4,7,0,0,1,0,0,0,0,2,0,0,3,161,2,3,4,1,100,0,0,0,0,0,5,0,0,0,0,0,4,0
136,57,0,3782,84,116,16,9,5,2,0,0,0,2,0,0,0,0,3,1,0,6,32,2,3,3,1,100,0,0,0,272,0,5,217,0,0,0,0,4,0
137,0,0,0,0,0,0,0,0,0,0,15,14,0,1,2,2,24,67,501,14,625,0,2,3,3,1,100,497,0,0,540,1,90,50,0,0,0,0,4,0
138,0,9,0,0,0,0,0,0,0,0,20,71,0,0,2,2,137,34,76,20,342,0,3,1,0,2,100,0,0,0,0,0,1,116,0,0,0,3,5,1
139,1,236,0,0,2,1,0,0,0,0,0,38,0,0,14,17,29,213,123,45,478,1,3,1,0,1,100,0,0,0,734,1,48,105,0,0,0,1,5,1
140,439,0,0,0,240,107,57,29,14,15,0,39,0,0,1,9,61,336,162,34,642,222,3,1,6,1,100,0,0,0,0,0,4,130,0,0,0,0,5,1
141,830,0,0,0,464,160,152,51,32,17,0,57,0,0,0,26,70,68,39,26,286,412,3,1,2,2,100,0,0,0,0,0,0,27,0,0,0,0,3,1
142,420,129,0,0,319,208,61,18,4,4,0,11,0,0,10,2,74,425,114,23,659,295,3,1,3,1,100,0,0,0,383,1,0,266,0,0,0,1,25,0
143,1,4,0,0,1,1,0,0,0,0,0,44,0,0,7,108,12,225,27,46,470,1,3,1,3,2,100,0,0,0,470,1,1,16,0,0,0,1,3,1
144,2144,37,0,0,638,283,330,142,100,75,0,0,0,0,25,6,38,60,0,60,190,930,2,3,3,2,100,0,0,0,0,0,0,116,0,0,0,1,3,1
145,1491,0,0,0,839,331,260,86,63,26,0,42,0,0,0,4,7,630,6,27,716,766,2,3,4,2,100,0,0,1385,335,1,0,30,0,0,0,0,3,1
146,1393,71,0,0,1,222,248,112,56,23,0,89,0,0,0,6,13,310,8,55,481,661,2,3,5,2,100,70,0,0,384,1,17,322,0,0,0,1,3,1
147,1274,0,222,164,739,290,264,92,25,16,0,0,0,0,5,2,5,194,0,32,238,687,2,3,4,2,100,0,0,0,240,0,0,342,0,0,0,0,3,1
148,269,0,0,0,121,29,39,21,16,7,0,55,0,0,0,24,0,0,0,63,141,112,2,3,4,2,100,0,0,0,0,0,0,495,0,0,0,0,3,1
149,255,0,0,0,112,29,36,19,8,13,0,0,0,0,0,0,1,5,0,12,19,105,2,3,4,2,100,0,0,0,438,0,0,27,0,0,0,0,3,1
150,1122,0,0,0,556,209,158,86,41,35,0,20,0,0,1,8,171,129,89,20,440,529,2,3,3,2,100,0,0,79,1643,1,0,236,0,0,0,0,3,1
151,662,0,0,0,350,130,117,37,28,15,0,75,0,0,0,0,8,311,82,23,499,327,2,3,4,1,100,0,0,0,261,0,0,95,0,0,0,0,3,1
152,113,7,0,0,48,13,17,7,5,5,0,14,0,0,1,10,22,282,18,30,377,47,3,1,3,1,100,0,0,0,485,0,0,15,0,0,0,1,25,0
153,200,2,0,0,88,20,19,21,16,3,0,28,0,0,0,2,28,422,121,48,648,79,2,3,4,1,100,0,0,0,529,0,12,87,0,0,0,1,25,0
154,821,6,0,0,467,238,111,51,22,24,0,3,0,0,2,21,91,109,19,39,284,446,2,3,4,1,100,0,0,0,5,0,2,258,0,0,0,3,3,1
155,934,0,0,0,439,136,125,80,32,36,0,0,0,0,1,1,0,49,3,18,73,409,2,3,4,1,100,0,0,0,0,0,2,6,0,0,0,0,3,1
156,895,0,0,0,432,150,128,60,36,33,0,0,0,0,0,0,8,38,0,38,83,407,2,3,4,1,100,0,0,0,261,0,1,0,0,0,0,0,3,1
