RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,
15,15,1,0.168270954,0.48598271,0.194550684,0.048790122,0,0.030999415,0.009754946,0.033070409,0,0.006168207,0,0,0.022412554,0,0,0,0,0,0,,
15,15,2,0.205066682,0.466843367,0.133566884,0.10080956,0.006589882,0.018802738,0,0,0,0,0,0.068320888,0,0,0,0,0,0,0,,
15,15,3,0.374403997,0.437540737,0,0,0,0,0,0,0,0,0.188055266,0,0,0,0,0,0,0,0,,
15,15,4,0,0.661589766,0,0,0,0,0,0,0,0.338410234,0,0,0,0,0,0,0,0,0,,
16,16,1,0.237522044,0.39925008,0.141475416,0.077904505,0.092631544,0.017731317,0,0,0,0.009193981,0,0.024291114,0,0,0,0,0,0,0,,
16,16,2,0.273802409,0.227254779,0.361221457,0.058111367,0,0,0,0,0,0,0.079609987,0,0,0,0,0,0,0,0,,
16,16,3,0.58770756,0.197836654,0.214455786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,16,4,0.479845457,0.520154543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17,17,1,0.523253746,0.238366634,0.059988427,0.064656123,0,0.017765179,0.087240478,0,0.002700166,0,0,0.006029247,0,0,0,0,0,0,0,,
17,17,2,0.020729166,0.625097217,0.023649708,0.267384187,0,0,0,0.019530261,0,0.043609461,0,0,0,0,0,0,0,0,0,,
17,17,3,0.06649699,0.755229648,0,0,0.055143183,0,0,0.12313018,0,0,0,0,0,0,0,0,0,0,0,,
17,17,4,0.246378076,0.562649468,0,0.059071243,0.131901213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
