Purpose,EntryPeriod,ReturnPeriod,Percent
1,21,43,0
1,21,44,0
1,21,45,0
1,21,46,0
1,21,47,0
1,21,48,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,22,11,0
1,22,12,0
1,22,13,0
1,22,14,0
1,22,15,0
1,22,16,0
1,22,17,0
1,22,18,0
1,22,19,0
1,22,20,0
1,22,21,0
1,22,22,0
1,22,23,0.000109689
1,22,24,0.000111456
1,22,25,0.000385951
1,22,26,0
1,22,27,0.000202742
1,22,28,0.000198167
1,22,29,0.001532901
1,22,30,0
1,22,31,0.000259441
1,22,32,0
1,22,33,0
1,22,34,0.000535253
1,22,35,0.0001608
1,22,36,0
1,22,37,0
1,22,38,0.000297299
1,22,39,0.000482639
1,22,40,0.000175221
1,22,41,0.000321934
1,22,42,0.000319768
1,22,43,0.00028958
1,22,44,0
1,22,45,0
1,22,46,0
1,22,47,0
1,22,48,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,23,11,0
1,23,12,0
1,23,13,0
1,23,14,0
1,23,15,0
1,23,16,0
1,23,17,0
1,23,18,0
1,23,19,0
1,23,20,0
1,23,21,0
1,23,22,0
1,23,23,0
1,23,24,0.000188993
1,23,25,0
1,23,26,0
1,23,27,0.000550106
1,23,28,0
1,23,29,0.000814487
1,23,30,0.001141266
1,23,31,0.000577638
1,23,32,0.00041628
1,23,33,0.000293498
1,23,34,0.000115904
1,23,35,0.001168775
1,23,36,0.000257917
1,23,37,0.000116461
1,23,38,0
1,23,39,0
1,23,40,0.000176016
1,23,41,0.000831594
1,23,42,0.001053828
1,23,43,0
1,23,44,0
1,23,45,0
1,23,46,0
1,23,47,0
1,23,48,0
1,24,1,0
1,24,2,0
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0
1,24,10,0
1,24,11,0
1,24,12,0
1,24,13,0
1,24,14,0
1,24,15,0
1,24,16,0
1,24,17,0
1,24,18,0
1,24,19,0
1,24,20,0
1,24,21,0
1,24,22,0
1,24,23,0
1,24,24,0
1,24,25,0.000162386
1,24,26,0.000328108
1,24,27,0
1,24,28,0
1,24,29,0.000303181
1,24,30,0.000405074
1,24,31,0
1,24,32,0
1,24,33,0.001945738
1,24,34,0
1,24,35,0.00010465
1,24,36,0.000243068
1,24,37,0
1,24,38,0
1,24,39,0.001255779
1,24,40,0
1,24,41,0.00061343
1,24,42,0.000196131
1,24,43,0.00020072
1,24,44,0
1,24,45,0.000229351
1,24,46,0
1,24,47,0.000825908
1,24,48,0
1,25,1,0
1,25,2,0
1,25,3,0
1,25,4,0
1,25,5,0
1,25,6,0
1,25,7,0
1,25,8,0
1,25,9,0
1,25,10,0
1,25,11,0
1,25,12,0
1,25,13,0
1,25,14,0
1,25,15,0
1,25,16,0
1,25,17,0
1,25,18,0
1,25,19,0
1,25,20,0
1,25,21,0
1,25,22,0
1,25,23,0
1,25,24,0
1,25,25,0.000188993
1,25,26,0
1,25,27,0
1,25,28,0
1,25,29,0
1,25,30,9.70E-05
1,25,31,0.000585727
1,25,32,0
1,25,33,0.000127143
1,25,34,0
1,25,35,0
1,25,36,0.000420617
1,25,37,0.000227285
1,25,38,0.000168222
1,25,39,0
1,25,40,0
1,25,41,0.001977534
1,25,42,0
1,25,43,0.000142327
1,25,44,0
1,25,45,0
1,25,46,0.000191262
1,25,47,0
1,25,48,0.000242694
1,26,1,0
1,26,2,0
1,26,3,0
1,26,4,0
1,26,5,0
1,26,6,0
1,26,7,0
1,26,8,0
1,26,9,0
1,26,10,0
1,26,11,0
1,26,12,0
1,26,13,0
1,26,14,0
1,26,15,0
1,26,16,0
1,26,17,0
1,26,18,0
1,26,19,0
1,26,20,0
1,26,21,0
1,26,22,0
1,26,23,0
1,26,24,0
1,26,25,0
1,26,26,0
1,26,27,0
1,26,28,0
1,26,29,0.000743121
1,26,30,0
1,26,31,0.000380437
1,26,32,0.000148327
1,26,33,0
1,26,34,0.000118013
1,26,35,0
1,26,36,0
1,26,37,0.000476695
1,26,38,0.001134267
1,26,39,6.98E-05
1,26,40,0.00031819
1,26,41,0
1,26,42,0.000564508
1,26,43,0
1,26,44,0
1,26,45,5.45E-05
1,26,46,0.00019955
1,26,47,0
1,26,48,0
1,27,1,0
1,27,2,0
1,27,3,0
1,27,4,0
1,27,5,0
1,27,6,0
1,27,7,0
1,27,8,0
1,27,9,0
1,27,10,0
1,27,11,0
1,27,12,0
1,27,13,0
1,27,14,0
1,27,15,0
1,27,16,0
1,27,17,0
1,27,18,0
1,27,19,0
1,27,20,0
1,27,21,0
1,27,22,0
1,27,23,0
1,27,24,0
1,27,25,0
1,27,26,0
1,27,27,0
1,27,28,0
1,27,29,0.000598364
1,27,30,0.000566191
1,27,31,9.29E-05
1,27,32,0.000170449
1,27,33,0
1,27,34,0.000179946
1,27,35,0.000328687
1,27,36,0.000590934
1,27,37,0
1,27,38,0.000187216
1,27,39,0.000220981
1,27,40,0.000983286
1,27,41,0.000739455
1,27,42,0
1,27,43,0
1,27,44,0
1,27,45,0
1,27,46,0
1,27,47,0
1,27,48,0
1,28,1,0
1,28,2,0
1,28,3,0
1,28,4,0
1,28,5,0
1,28,6,0
1,28,7,0
1,28,8,0
1,28,9,0
1,28,10,0
1,28,11,0
1,28,12,0
1,28,13,0
1,28,14,0
1,28,15,0
1,28,16,0
1,28,17,0
1,28,18,0
1,28,19,0
1,28,20,0
1,28,21,0
1,28,22,0
1,28,23,0
1,28,24,0
1,28,25,0
1,28,26,0
1,28,27,0
1,28,28,9.72E-05
1,28,29,0
1,28,30,0
1,28,31,5.49E-05
1,28,32,0.000545002
1,28,33,0.000221067
1,28,34,0.000462035
1,28,35,0.000439398
1,28,36,0.000149823
1,28,37,0.000398001
1,28,38,0.000258596
1,28,39,0
1,28,40,0.000477745
1,28,41,0.000300786
1,28,42,0
1,28,43,0
1,28,44,0
1,28,45,0.005309646
1,28,46,0
1,28,47,0
1,28,48,0
1,29,1,0
1,29,2,0
1,29,3,0
1,29,4,0
1,29,5,0
1,29,6,0
1,29,7,0
1,29,8,0
1,29,9,0
1,29,10,0
1,29,11,0
1,29,12,0
1,29,13,0
1,29,14,0
1,29,15,0
1,29,16,0
1,29,17,0
1,29,18,0
1,29,19,0
1,29,20,0
1,29,21,0
1,29,22,0
1,29,23,0
1,29,24,0
1,29,25,0
1,29,26,0
1,29,27,0
1,29,28,0
1,29,29,0
1,29,30,0
1,29,31,9.54E-05
1,29,32,0.000164755
1,29,33,0.000122421
1,29,34,0
1,29,35,0.000150875
1,29,36,0.001749948
1,29,37,0.000516468
1,29,38,0
1,29,39,0.000470922
1,29,40,0.001014439
1,29,41,0.001227087
1,29,42,0
1,29,43,0
1,29,44,0
1,29,45,0.000344453
1,29,46,0
1,29,47,0
1,29,48,0
1,30,1,0
1,30,2,0
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,0
1,30,7,0
1,30,8,0
1,30,9,0
1,30,10,0
1,30,11,0
1,30,12,0
1,30,13,0
1,30,14,0
1,30,15,0
1,30,16,0
1,30,17,0
1,30,18,0
1,30,19,0
1,30,20,0
1,30,21,0
1,30,22,0
1,30,23,0
1,30,24,0
1,30,25,0
1,30,26,0
1,30,27,0
1,30,28,0
1,30,29,0
1,30,30,0
1,30,31,0.000118051
1,30,32,0
1,30,33,0.000328815
1,30,34,0.000148725
1,30,35,0.00040563
1,30,36,0
1,30,37,0.000296651
1,30,38,0.000181266
1,30,39,0.001234952
1,30,40,0
1,30,41,0
1,30,42,0.001764407
1,30,43,0
1,30,44,0
1,30,45,0
1,30,46,0
1,30,47,0
1,30,48,0
1,31,1,0
1,31,2,0
1,31,3,0
1,31,4,0
1,31,5,0
1,31,6,0
1,31,7,0
