TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,Work_5,Work_6,University,School,Escort,Maintenance,Discretionary,AtWork
147,0.82001,0.48039,0.60569,0.80673,-0.07882,1.04001,0,1.49281,0,0,0,0,0
148,0.45415,0.24758,0,0.07262,1.16272,0.63179,0,0,0,0,0,0,0
149,0,-0.66036,-1.04567,-2.34898,0.42618,0.59142,0,0,0,0,0,0,0
150,0.07148,0.36657,0.23971,0.4721,0.69552,-0.06163,0,1.93086,1.86689,0,0,0,0
151,0.39055,0.21279,0.43734,0.28853,0.23152,-3.87907E-4,7.13247,2.19721,0,0,0,0,0
152,-7.80236E-3,0.21677,0.24584,0.44052,0.16745,0.20274,0,1.67734,0,0,0,0,0
153,0.097,0.16346,0.31986,0.29605,0.31147,0.55251,6.91197,1.96091,0,0,0,0,0
154,0.31648,0.17049,0.34326,0.48539,0.16793,0.96841,0,3.38271,0,0,0,0,0
155,0.07714,0.27552,-0.02719,0.75885,0.24332,-0.27272,0,2.26242,0,0,0,0,0
156,-1.45079,0.47229,0,-1.81752,0.23902,0.83928,0,0,0,0,0,0,0
157,-0.30699,0.15504,0,-0.3077,0.40814,0.84596,0,0,0,0,0,0,0
158,0.28403,0.46759,0.33929,0.35111,0.71382,0.28989,7.38821,-2.69832,0,0,0,0,0
159,0.19361,0.26918,0.24215,0.5343,0.27108,0.18437,7.33913,2.04926,0,0,0,0,0
160,-8.36496E-3,0.38247,0.23012,-0.08957,0.18235,-0.02158,7.12623,2.39317,0,0,0,0,0
161,0.65436,0.58834,0.25227,8.82159E-3,0.6883,0.94388,0,2.44688,0,0,0,0,0
162,0.90134,-0.75203,0.87576,-1.07387,-0.65386,0.5204,0,0,0,0,0,0,0
163,0.11387,0.33727,0.2184,0.31116,0.19889,0.23761,7.65291,1.90894,0,0,0,0,0
164,0.05605,0.28464,0.2258,0.35201,0.69059,0.31567,5.32432,2.06381,0,0,0,0,0
165,-0.07656,0.40913,0.19685,-0.14874,0.4696,0.94374,-0.21103,1.51024,0,0,0,0,0
166,-0.01603,0.06538,0.03706,0.12857,0.0995,0.12247,6.51322,1.50769,0,0,0,0,0
167,0.08803,0.02054,0.49646,-3.29917E-3,0.35296,0.30401,1.14823,1.08117,0,0,0,0,0
168,6.28138E-3,0.10736,0.20383,0.12286,0.15133,0.58152,5.91887,1.59142,1.30097,0,0,0,0
169,-0.09382,0.35355,0.10144,0.33836,0.27336,0.51322,1.3486,2.29008,0,0,0,0,0
170,0.03265,-0.99512,0,1.68311,0.48892,1.08138,0,0,1.25261,0,0,0,0
171,-2.53698E-3,-0.1319,0.23678,0.32149,0.43793,0.34176,0,0,0,0,0,0,0
172,0.44759,0.36542,0.54973,0.05831,0.27536,0.50467,5.70743,2.37211,0,0,0,0,0
173,0.15756,0.37649,0.32799,0.11364,0.10287,0.66761,6.72669,1.69957,0,0,0,0,0
174,-0.10874,0.53597,0.52055,0.22155,0.28479,0.02957,6.55073,1.91653,0,0,0,0,0
175,-0.36931,0.80887,0.33323,-0.03163,0.49721,0.37347,0,1.48816,0,0,0,0,0
176,0.30631,0.22682,0.37106,0.2034,0.42549,0.38521,7.39843,1.54527,0,0,0,0,0
177,0.03479,0.35475,0.27293,0.09283,-0.03585,0.13479,7.45217,1.72543,0,0,0,0,0
178,0.25973,0.13672,0.2425,0.32102,0.46952,0.1894,7.54696,1.86054,0,0,0,0,0
179,-0.03268,0.20437,0.24528,0.06637,0.14827,0.48063,6.82522,1.79366,0,0,0,0,0
180,0.14145,0.21183,0.23282,0.52879,0.27502,0.53034,2.90543,1.91292,0,0,0,0,0
181,0.49251,0.19656,0.59759,0.13558,0.33356,0.75136,0.92289,1.31367,0,0,0,0,0
182,0.2261,0.22835,0.30877,0.13008,0.41714,0.4251,7.16879,2.13369,0,0,0,0,0
183,0.1519,0.1327,0.33624,0.13808,0.35331,0.40939,1.05541,2.03711,0,0,0,0,0
184,0.04703,0.2079,0.36299,0.22664,0.1042,-0.05251,6.36322,2.03752,0,0,0,0,0
185,-0.16471,0.07816,0.2076,6.2198E-3,0.3133,0.55569,7.00611,1.85244,0,0,0,0,0
186,0.17886,0.17709,0.07646,0.05906,0.249,0.23503,7.34778,1.31052,0,0,0,0,0
187,0.22,0.29245,0.45125,0.05044,0.55209,0.3845,6.53658,2.18604,0,0,0,0,0
188,-0.01847,-0.06818,0.1798,0.06495,0.19129,0.20125,6.7837,1.84429,0,0,0,0,0
189,-0.09599,0.44772,0.29202,-0.0934,0.30428,0.3947,8.28224,1.75391,0,0,0,0,0
190,0.18798,-0.04818,0.19064,0.21134,0.10601,0.1793,7.23154,1.96736,0,0,0,0,0
191,0.2474,0.16179,0.22271,0.25367,0.5428,0.34439,6.84683,2.10296,1.65103,0,0,0,0
192,0.13587,0.15339,0.32305,0.2843,0.45319,0.45474,6.94066,1.86541,0,0,0,0,0
193,-3.7706E-3,0.15539,0.04184,0.05565,0.31485,0.31408,7.13473,1.56283,0,0,0,0,0
194,0.16425,0.07157,0.03342,0.15479,0.30307,0.21719,7.22436,1.65154,0,0,0,0,0
195,0.43246,0.75323,-8.64188E-3,0.73038,0.34259,-0.12479,0,-1.2486E-3,1.43871,0,0,0,0
196,0.06117,0.16255,0.22447,0.16116,0.01145,0.26409,6.83925,1.5074,0,0,0,0,0
197,0.28172,0.10847,0.34168,0.0862,0.37578,0.08364,6.6759,1.35279,0,0,0,0,0
198,0.42787,0.37008,-0.08193,7.55062E-3,0.13032,0.43875,0,0,0,0,0,0,0
199,0.44276,0.16604,0.45725,0.30979,0.50668,0.65059,7.43134,1.89358,1.18029,0,0,0,0
200,0.22276,0.70273,0.19441,0.01791,0.14346,0.55105,3.33754,1.53241,0,0,0,0,0
201,0.09187,0.09663,0.5384,0.04914,4.79546E-3,0.39931,7.45552,1.72825,0,0,0,0,0
202,0.21775,0.08792,0.37334,0.25516,0.54478,0.80589,5.58614,1.81732,0,0,0,0,0
203,0.16298,0.4242,0.48354,0.18715,0.0763,0.47115,7.18657,2.64581,0,0,0,0,0
204,-0.12103,-0.16639,-0.06997,-0.04552,0.1753,0.32927,4.75086,1.38389,0,0,0,0,0
205,0.02454,0.25644,0.13188,0.22717,0.28746,0.18096,4.58146,1.77164,0,0,0,0,0
206,0.22506,0.32417,0.23641,0.25075,0.25609,0.24763,7.1947,1.46113,0,0,0,0,0
207,0.44964,0.6605,0.50456,0.62772,-0.02822,0.94365,0,1.10497,0,0,0,0,0
208,0.61932,0.5234,1.09007,0.04476,0.47829,0.66906,6.94104,0.25101,0,0,0,0,0
209,0.19701,0.4072,0.23463,0.35928,0.39927,-0.04539,2.2283,1.50263,0,0,0,0,0
210,0.15864,0.38888,0.1723,0.1326,0.36253,0.43889,7.57506,1.71601,0,0,0,0,0
211,0.24994,0.34589,0.48081,0.34486,0.30504,0.3685,5.34401,2.23959,0,0,0,0,0
212,0.19272,0.35341,0.31957,0.4155,0.70521,0.61029,5.81704,1.90645,0,0,0,0,0
213,0.07354,0.13137,0.18691,0.14037,0.15314,0.24102,0.63098,1.84136,0,0,0,0,0
214,0.24093,0.19973,0.25805,0.13465,0.35494,0.33207,7.18533,1.92249,0,0,0,0,0
215,-0.06085,0.22011,0.028,0.07325,0.35451,0.28804,4.80991,1.3944,0,0,0,0,0
216,0.05153,0.11759,0.20094,0.22368,0.26214,0.13529,5.80337,1.86782,0,0,0,0,0
217,0.15461,0.10425,0.37325,0.17932,0.15411,0.31668,2.76724,1.92396,0,0,0,0,0
218,0.01116,0.24353,0.22165,0.12063,0.28392,0.37573,5.65732,1.74111,0,0,0,0,0
219,0.29908,0.28984,0.14915,0.24289,0.34136,0.53267,6.8758,1.60173,0,0,0,0,0
220,-0.1741,-0.17781,0.13393,-0.15707,0.21559,0.44045,4.44864,1.41677,0,0,0,0,0
221,0.16917,0.13112,0.06143,-3.95454E-3,0.08519,0.19147,2.45729,1.71895,0,0,0,0,0
222,0.35701,0.0887,0.12791,0.35683,0.67535,-0.60529,7.17712,1.86735,0,0,0,0,0
223,0.08518,0.01734,0.05122,0.05853,0.44338,0.24081,6.79677,1.55031,1.23474,0,0,0,0
224,-0.40602,-0.31494,-0.13977,-0.16826,-9.79895E-3,0.17427,4.22421,1.35743,0,0,0,0,0
225,-0.02207,0.0644,0.21925,0.08648,0.15583,0.33106,0,2.567,0,0,0,0,0
226,0.01569,0.17317,0.1636,0.08838,0.44611,1.02258,1.23345,2.25798,1.4592,0,0,0,0
227,0.09439,0.31822,0.40578,0.21816,0.07667,0.54166,3.14886,1.98213,0,0,0,0,0
228,0.03342,0.06385,0.22243,0.17557,0.25102,0.51492,6.44014,2.13189,0,0,0,0,0
229,0.09179,0.09503,0.15782,0.14646,-0.15924,0.39345,6.63622,1.25555,0,0,0,0,0
230,0.08239,0.28982,0.42482,0.26269,0.48964,0.73442,7.37586,1.86157,0,0,0,0,0
231,0.34993,0.16855,0.46927,0.24461,0.35763,0.42224,6.96985,2.04016,0,0,0,0,0
232,0.23121,0.28986,0.58408,0.40317,0.12565,0.26522,0,2.49459,1.74352,0,0,0,0
233,0.02389,0.08387,0.05113,0.06462,0.31773,0.37689,7.43456,1.77146,0,0,0,0,0
234,0.24415,0.35132,0.25908,0.24086,0.47815,0.29239,5.73524,2.08004,0,0,0,0,0
235,0.21154,0.43264,0.62794,0.25406,0.25791,1.12768,0,0,0,0,0,0,0
236,0.20375,0.22442,0.38373,0.43457,0.52041,0.44013,5.32162,2.07022,0,0,0,0,0
237,0.10258,0.22848,0.17823,0.14641,0.42547,0.1526,1.14823,1.83667,0,0,0,0,0
238,0.14859,0.46692,0.29352,0.2779,0.70131,0.15321,7.43479,1.31951,0,0,0,0,0
239,0.11701,0.11863,0.26987,0.09204,0.31078,0.24051,6.78424,1.4125,0,0,0,0,0
240,-8.5458E-3,0.17274,0.12362,1.37119E-3,0.3898,0.5764,6.38423,1.60852,0,0,0,0,0
241,0.10682,0.33118,0.25987,0.25078,0.13217,0.37561,7.28729,2.44162,0,0,0,0,0
242,0.08029,0.09112,0.2905,0.16425,0.40907,-0.09136,5.87646,2.0682,1.29662,0,0,0,0
243,-0.12949,-0.05709,0.11169,-0.04792,0.23701,0.35682,6.7016,1.61591,0,0,0,0,0
244,0.16718,0.06532,0.23715,0.23336,0.10522,0.41428,2.78179,1.4266,0,0,0,0,0
245,-0.14433,0.33874,0.22062,0.34679,0.18099,0.45328,0,0,0,0,0,0,0
246,0,0,0,0,-0.10055,0.19495,0,0,1.37519,0,0,0,0
247,-0.09174,0.47093,0.24834,0.46216,0.4469,0.27051,3.91123,1.53872,1.26719,0,0,0,0
248,-0.50389,0.57445,0.40328,-1.34951,0.47017,0.93704,0,1.50305,0,0,0,0,0
249,0.37357,0.33373,0.17713,0.0711,-0.06721,0.52671,0,0.74576,0,0,0,0,0
